en,mni-Mtei
"drawing room, by Jo’s attention was entirely absorbed by a","ꯗ꯭ꯔꯣꯏꯪ ꯔꯨꯝ, ꯕꯥꯏ ꯖꯣ’ꯁ ꯑꯦꯇꯦꯟꯁꯟ ꯑꯁꯤ ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯑꯦ."
"grand piano, which stood open","ꯒ꯭ꯔꯦꯟꯗ ꯄꯤꯌꯥꯅꯣ, ꯃꯗꯨ ꯍꯥꯡꯗꯣꯀꯈꯤ"
"‘Do you play?’ she asked, turning to Laurie with a respectful","‘ꯑꯗꯣꯝ ꯁꯥꯟꯅꯔꯤꯕꯔꯥ?’ ꯃꯍꯥꯛꯅꯥ ꯍꯪꯈꯤ, ꯂꯧꯔꯤꯕꯗꯥ ꯏꯀꯥꯌꯈꯨꯝꯅꯕꯥ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯍꯪꯈꯤ꯫"
expression,ꯐꯣꯡꯗꯣꯛꯄ
"‘Sometimes,’ he answered modestly","‘ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯇꯃꯗꯥ,’ ꯃꯍꯥꯛꯅꯥ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯖꯕꯥ ꯊꯤꯗꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ꯫"
"‘Please do now. I want to hear it, so I can tell Beth.’ ‘Won’t you",‘ꯆꯥꯅꯕꯤꯗꯨꯅꯥ ꯍꯧꯖꯤꯛ ꯇꯧꯕꯤꯌꯨ꯫
first?’,ꯑꯍꯥꯟꯕ?'
"‘Don’t know how. Too stupid to learn, but I love music dearly.’",‘ꯀꯔꯤꯅꯣ ꯍꯥꯌꯕꯥ ꯈꯉꯗꯦ꯫
"So Laurie played and Jo listened, with her nose luxuriously","ꯑꯗꯨꯅꯥ ꯂꯧꯔꯤꯅꯥ ꯁꯥꯟꯅꯈꯤ ꯑꯃꯁꯨꯡ ꯖꯣ ꯇꯥꯈꯤ, ꯃꯍꯥꯛꯀꯤ ꯅꯥꯀꯣꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯂꯨꯖꯔꯕꯥ ꯃꯑꯣꯡꯗꯥ"
buried in heliotrope and tea roses. Her respect and regard for,ꯍꯦꯂꯤꯑꯣꯠꯔꯣꯞ ꯑꯃꯁꯨꯡ ꯆꯥꯒꯤ ꯒꯣꯂꯥꯄꯁꯤꯡꯗꯥ ꯊꯨꯒꯥꯏꯈꯤ꯫
"the ‘Laurence’ boy increased very much, for he played","‘ꯂꯣꯔꯦꯟꯁ’ ꯕꯣꯏ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯍꯦꯅꯒꯠꯂꯀꯈꯤ, ꯃꯔꯃꯗꯤ ꯃꯍꯥꯛꯅꯥ ꯁꯥꯟꯅꯈꯤ"
remarkably well and didn’t put on any airs. She wished Beth,ꯁꯤꯡꯊꯥꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯅꯥ ꯐꯩ ꯑꯃꯁꯨꯡ ꯑꯦꯌꯔ ꯑꯃꯠꯇꯥ ꯊꯃꯈꯤꯗꯦ꯫
"could hear him, but she did not say so, only praised him till he","ꯃꯍꯥꯀꯄꯨ ꯇꯥꯕꯥ ꯉꯃꯈꯤ, ꯑꯗꯨꯕꯨ ꯃꯍꯥꯛꯅꯥ ꯍꯥꯌꯈꯤꯗꯦ, ꯃꯍꯥꯀꯄꯨ ꯊꯥꯒꯠꯈꯤ ꯃꯗꯨꯗꯤ ꯃꯍꯥꯛꯅꯥ ."
"was quite abashed, and his grandfather came to his rescue","ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ ꯊꯣꯀꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯃꯄꯥꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯇꯦꯡꯕꯥꯡꯅꯕꯥ ꯂꯥꯀꯈꯤ"
96,꯹꯶ .
"‘That will do, that will do, young lady. too many sugarplums are","‘ꯃꯗꯨ ꯇꯧꯒꯅꯤ, ꯃꯗꯨ ꯇꯧꯒꯅꯤ, ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤ꯫"
"not good for him. His music isn’t bad, but I hope he will do as",ꯃꯍꯥꯛꯀꯤꯗꯃꯛ ꯑꯐꯕꯥ ꯅꯠꯇꯦ꯫
well in more important things,ꯍꯦꯟꯅꯥ ꯃꯔꯨꯑꯣꯏꯕꯥ ꯋꯥꯐꯃꯁꯤꯡꯗꯥ ꯋꯦꯜ .
"Going? well, I’m much obliged to you, and I hope you’ll come",ꯆꯠꯂꯤ?
"again. My respects to your mother. Good night, Doctor Jo.’",ꯑꯃꯨꯛ ꯍꯟꯅ.
"He shook hands kindly, but looked as if something did not","ꯃꯍꯥꯛꯅꯥ ꯃꯤꯅꯨꯡꯁꯤ ꯂꯩꯅꯥ ꯈꯨꯠ ꯍꯥꯃꯈꯤ, ꯑꯗꯨꯕꯨ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯥ ꯇꯧꯈꯤꯗꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯎꯈꯤ"
"please him. When they got into the hall, Jo asked Laurie if she",ꯆꯥꯅꯕꯤꯗꯨꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯄꯤꯕꯤꯌꯨ꯫
had said something amiss. He shook his head,ꯍꯥꯌꯔꯝꯃꯤ ꯃꯗꯨꯗꯤ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯈꯔꯥ ꯑꯔꯥꯅꯕꯥ ꯍꯥꯌꯔꯝꯃꯤ꯫
"‘No, it was me. He doesn’t like to hear me play.’ ‘Why not?’","‘ꯅꯠꯇꯦ, ꯑꯩꯅꯤ꯫"
"‘I’ll tell you some day. John is going home with you, as I can’t.’",‘ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯅꯨꯃꯤꯠ ꯈꯔꯅꯤꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯍꯥꯌꯒꯅꯤ꯫
"‘No need of that. I am not a young lady, and it’s only a step",‘ꯃꯗꯨꯒꯤ ꯃꯊꯧ ꯇꯥꯗꯦ꯫
"Take care of yourself, won’t you?’","ꯅꯁꯥꯕꯨ ꯌꯦꯡꯁꯤꯅꯕꯤꯌꯨ, ꯅꯠꯇꯦ?’"
"‘Yes, but you will come again, I hope?’","‘ꯍꯣꯌ, ꯑꯗꯨꯕꯨ ꯅꯉꯅꯥ ꯑꯃꯨꯛ ꯂꯥꯛꯀꯅꯤ, ꯑꯩꯅꯥ ꯑꯥꯁꯥ ꯇꯧꯏ?’"
